date,char,roll,dice
2020-08-04 23:27,Faroon,5,d20
2020-08-04 23:30,Kalain,11,d20
2020-08-04 23:30,Kalain,10,d20
2020-08-04 23:32,Caris,1,d20
2020-08-04 23:32,Caris,6,d20
2020-08-04 23:39,Tanus,4,d20
2020-08-04 23:42,Caris,10,d20
2020-08-04 23:43,Faroon,4,d20
2020-08-04 23:44,Kalain,4,d20
2020-08-04 23:44,Kalain,4,d20
2020-08-04 23:51,Caris,5,d20
2020-08-04 23:52,Faroon,4,d20
2020-09-01 21:50,Faroon,8,1d6+2
2020-09-01 21:51,Caris,2,1d6+1
2020-09-01 21:51,Caris,3,1d6+1
2020-09-01 21:54,Kalain,2,1d6+1
2020-09-01 21:54,Faroon,4,1d6+2
2020-09-01 21:55,Kalain,5,1d6+1
2020-09-01 21:55,Kalain,4,1d6+2
2020-09-01 21:56,Caris,2,1d6+1
2020-09-01 21:56,Caris,4,1d6+1
2020-09-01 21:57,Tanus,4,1d6+3
2020-09-01 21:57,Tanus,9,1d6+3
2020-09-01 21:57,Tanus,6,1d6+3
2020-09-01 21:58,Caris,5,1d6+3
2020-09-01 22:16,Kalain,5,d20
2020-09-01 22:20,Caris,9,d20
2020-09-01 22:43,Caris,6,d20
2020-09-01 22:43,Caris,14,d20
2020-09-01 22:52,Kalain,13,d20
2020-09-01 22:57,Faroon,14,d20
2020-09-01 22:57,Caris,12,d20
2020-09-01 22:58,Tanus,13,d20
2020-09-01 23:07,Caris,10,d20
2020-09-01 23:10,Faroon,8,d20
2020-09-01 23:14,Kalain,13,d20
2020-09-01 23:17,Tanus,10,d20
2020-09-01 23:19,Caris,4,d20
2020-09-01 23:21,Kalain,4,d20
2020-09-01 23:24,Faroon,1,d20
2020-09-01 23:24,Faroon,18,d20
2020-09-01 23:26,Tanus,4,d20
2020-09-01 23:32,Caris,4,d20
2020-09-01 23:32,Caris,4,d20
2020-09-01 23:34,Faroon,9,d20
2020-09-01 23:35,Kalain,3,d20
2020-09-01 23:36,Tanus,15,d20
2020-09-01 23:38,Caris,2,d20
2020-09-01 23:38,Caris,2,d20
2020-09-01 23:39,Kalain,3,d20
2020-09-01 23:39,Kalain,2,d20
2020-09-01 23:41,Tanus,2,d20
2020-09-09 22:13,Caris,20,d20
2020-09-09 22:20,Tanus,3,d20
2020-09-09 22:23,Caris,6,d20
2020-09-09 22:25,Tanus,2,d20
2020-09-09 22:36,Caris,3,d20
2020-09-09 22:36,Caris,3,d20
2020-09-09 22:39,Faroon,4,d20
2020-09-09 22:41,Tanus,3,d20
2020-09-09 22:45,Faroon,4,d20
2020-09-09 22:50,Caris,15,d20
2020-09-09 22:50,Caris,20,d20
2020-09-09 22:53,Faroon,3,d20
2020-09-09 22:53,Faroon,3,d20
2020-09-09 22:53,Faroon,9,d20
2020-09-09 23:00,Caris,11,d20
2020-09-09 23:02,Faroon,3,d20
2020-09-09 23:04,Tanus,3,d20
2020-09-09 23:04,Tanus,3,d20
2020-09-09 23:05,Faroon,7,d20
2020-09-09 23:06,Tanus,2,d20
2020-09-09 23:06,Tanus,2,d20
2020-09-09 23:13,Caris,6,d20
2020-09-09 23:14,Faroon,3,d20
2020-09-09 23:16,Tanus,2,d20
2020-09-09 23:23,Faroon,6,1d6+2
2020-09-09 23:23,Tanus,4,1d6+3
2020-09-09 23:23,Caris,4,1d6+3
2020-09-09 23:23,Tanus,6,1d6+3
2020-09-09 23:23,Faroon,5,1d6+2
2020-09-09 23:23,Tanus,9,1d6+3
2020-09-09 23:23,Caris,9,1d6+3
2020-09-09 23:50,Tanus,7,d20
2020-09-09 23:53,Tanus,1,d20
2020-09-09 23:53,Tanus,9,d20
2020-09-10 00:01,Faroon,3,1d6+2
2020-09-10 00:01,Caris,6,1d6+3
2020-09-15 21:34,Kalain,18,d20
2020-09-15 21:34,Kalain,14,d20
2020-09-15 21:47,Faroon,6,1d6+2
2020-09-15 22:15,Faroon,13,d20
2020-09-15 22:15,Tanus,15,d20
2020-09-15 22:15,Caris,11,d20
2020-09-15 22:15,Kalain,17,d20
2020-09-15 22:48,Kalain,2,d20
2020-09-15 22:48,Tanus,1,d20
2020-09-15 22:48,Faroon,6,d20
2020-09-15 22:48,Tanus,10,d20
2020-09-15 22:51,Faroon,3,d20
2020-09-15 22:51,Faroon,3,d20
2020-09-15 22:52,Tanus,4,d20
2020-09-15 22:52,Caris,2,d20
2020-09-15 22:53,Kalain,13,d20
2020-09-15 23:06,Faroon,11,d20
2020-09-15 23:09,Kalain,5,na
2020-09-15 23:14,Tanus,8,na
2020-09-15 23:23,Kalain,12,d20
2020-09-15 23:24,Tanus,10,d20
2020-09-15 23:24,Caris,9,d20
2020-09-15 23:25,Faroon,4,d20
2020-09-15 23:25,Faroon,13,d20
2020-09-15 23:29,Caris,4,d20
2020-09-15 23:29,Faroon,4,d20
2020-09-15 23:29,Tanus,4,d20
2020-09-15 23:29,Kalain,4,d20
2020-09-15 23:36,Faroon,7,1d6+2
2020-09-15 23:36,Faroon,8,1d6+2
2020-09-15 23:36,Kalain,3,1d6+2
2020-09-15 23:37,Tanus,6,1d6+3
2020-09-15 23:37,Caris,7,1d6+3
2020-09-15 23:37,Caris,7,1d6+3
2020-09-15 23:37,Caris,9,1d6+3
2020-09-15 23:37,Caris,9,1d6+3
2020-09-22 22:21,Tanus,4,d20
2020-09-22 22:21,Tanus,4,d20
2020-09-22 22:38,Faroon,9,1d6+3
2020-09-22 22:38,Tanus,5,1d6+3
2020-09-22 22:38,Tanus,5,1d6+3
